timestamp,회사명,제목,링크,경력,학력,고용형태,연봉정보,지역,직무분야,마감일
"2024-12-14 03:34:17,062",쿠팡,쿠팡 블록체인 개발자 채용,https://careers.example.com/쿠팡/57359,전문연구요원,박사이상,정규직,"5,864만원 ~ 13,273만원",경기 분당구,"Java, Spring, MySQL",2025-01-10
"2024-12-14 03:34:17,404",당근마켓,당근마켓 시스템 엔지니어 채용,https://careers.example.com/당근마켓/48880,경력무관,고졸이상,계약직,"3,914만원 ~ 14,002만원",광주 북구,"Python, TensorFlow, PyTorch",2025-01-02
"2024-12-14 03:34:17,562",버킷플레이스,버킷플레이스 보안 엔지니어 채용,https://careers.example.com/버킷플레이스/35520,신입,대졸이상,프리랜서,"7,642만원 ~ 11,170만원",경기 분당구,"Kotlin, Android, Firebase",2024-12-25
"2024-12-14 03:34:17,485",우아한형제들,우아한형제들 게임 서버 개발자 채용,https://careers.example.com/우아한형제들/72389,경력,초대졸이상,인턴,"6,212만원 ~ 11,736만원",서울 송파구,"Python, TensorFlow, PyTorch",2024-12-26
"2024-12-14 03:34:17,318",째깍악어,째깍악어 게임 클라이언트 개발자 채용,https://careers.example.com/째깍악어/44963,인턴,석사이상,프리랜서,"5,034만원 ~ 12,160만원",서울 송파구,"Go, Docker, Kubernetes",2025-01-04
"2024-12-14 03:34:17,928",라인플러스,라인플러스 백엔드 개발자 채용,https://careers.example.com/라인플러스/50903,경력,석사이상,파견직,"4,058만원 ~ 12,764만원",서울 서초구,"Ruby, Rails, PostgreSQL",2025-01-06
"2024-12-14 03:34:17,757",드라마앤컴퍼니,드라마앤컴퍼니 프론트엔드 개발자 채용,https://careers.example.com/드라마앤컴퍼니/42580,전문연구요원,박사이상,정규직,"6,241만원 ~ 13,148만원",경기 성남시,"Scala, Akka, Kafka",2024-12-29
"2024-12-14 03:34:17,891",두나무,두나무 게임 서버 개발자 채용,https://careers.example.com/두나무/36424,경력,석사이상,프리랜서,"5,544만원 ~ 12,915만원",서울 성동구,"Python, Django, AWS",2024-12-30
"2024-12-14 03:34:17,323",마이리얼트립,마이리얼트립 QA 엔지니어 채용,https://careers.example.com/마이리얼트립/67690,신입,고졸이상,인턴,"7,930만원 ~ 11,891만원",서울 강남구,"JavaScript, Vue.js, TypeScript",2025-01-04
"2024-12-14 03:34:17,434",당근마켓,당근마켓 백엔드 개발자 채용,https://careers.example.com/당근마켓/70023,인턴,고졸이상,계약직,"3,520만원 ~ 14,750만원",경기 분당구,"Ruby, Rails, PostgreSQL",2025-01-08
"2024-12-14 03:34:17,459",직방,직방 블록체인 개발자 채용,https://careers.example.com/직방/51571,전문연구요원,박사이상,인턴,"7,609만원 ~ 14,328만원",서울 송파구,"C++, Unreal Engine",2025-01-08
"2024-12-14 03:34:17,634",여기어때,여기어때 게임 서버 개발자 채용,https://careers.example.com/여기어때/68031,신입,초대졸이상,인턴,"5,251만원 ~ 14,111만원",서울 강남구,"Python, Django, AWS",2024-12-28
"2024-12-14 03:34:17,234",스마일게이트,스마일게이트 iOS 개발자 채용,https://careers.example.com/스마일게이트/41452,경력무관,초대졸이상,계약직,"4,424만원 ~ 14,944만원",경기 판교,"Java, Spring, MySQL",2025-01-09
"2024-12-14 03:34:17,341",펄어비스,펄어비스 풀스택 개발자 채용,https://careers.example.com/펄어비스/42688,전문연구요원,대졸이상,정규직,"5,201만원 ~ 12,364만원",인천 연수구,"Python, Django, AWS",2025-01-11
"2024-12-14 03:34:17,358",토스,토스 보안 엔지니어 채용,https://careers.example.com/토스/45859,경력,석사이상,인턴,"3,889만원 ~ 9,667만원",인천 연수구,"JavaScript, React, Node.js",2025-01-14
"2024-12-14 03:34:17,810",드라마앤컴퍼니,드라마앤컴퍼니 머신러닝 엔지니어 채용,https://careers.example.com/드라마앤컴퍼니/59396,신입,고졸이상,계약직,"4,408만원 ~ 10,031만원",서울 성동구,"Python, TensorFlow, PyTorch",2024-12-28
"2024-12-14 03:34:17,072",째깍악어,째깍악어 안드로이드 개발자 채용,https://careers.example.com/째깍악어/61298,신입·경력,초대졸이상,프리랜서,"5,323만원 ~ 9,079만원",서울 송파구,"Go, Docker, Kubernetes",2025-01-08
"2024-12-14 03:34:17,225",펄어비스,펄어비스 블록체인 개발자 채용,https://careers.example.com/펄어비스/29822,경력,초대졸이상,프리랜서,"5,839만원 ~ 14,072만원",경기 판교,"Python, TensorFlow, PyTorch",2025-01-07
"2024-12-14 03:34:17,441",무신사,무신사 게임 클라이언트 개발자 채용,https://careers.example.com/무신사/37187,경력무관,학력무관,계약직,"3,744만원 ~ 14,620만원",대전 유성구,"Java, Spring, MySQL",2025-01-02
"2024-12-14 03:34:17,793",카카오,카카오 풀스택 개발자 채용,https://careers.example.com/카카오/66675,경력무관,석사이상,파견직,"7,413만원 ~ 9,500만원",경기 분당구,"Go, Docker, Kubernetes",2025-01-12
"2024-12-14 03:34:17,469",네이버,네이버 QA 엔지니어 채용,https://careers.example.com/네이버/99843,인턴,박사이상,정규직,"5,617만원 ~ 12,640만원",서울 강남구,"Go, Docker, Kubernetes",2024-12-24
"2024-12-14 03:34:17,280",두나무,두나무 머신러닝 엔지니어 채용,https://careers.example.com/두나무/33267,경력,초대졸이상,정규직,"6,890만원 ~ 9,447만원",서울 마포구,"C++, Unreal Engine",2025-01-13
"2024-12-14 03:34:17,321",토스,토스 머신러닝 엔지니어 채용,https://careers.example.com/토스/26383,경력무관,초대졸이상,계약직,"4,473만원 ~ 9,582만원",서울 서초구,"C++, Unreal Engine",2024-12-28
"2024-12-14 03:34:17,730",째깍악어,째깍악어 머신러닝 엔지니어 채용,https://careers.example.com/째깍악어/44946,신입,고졸이상,프리랜서,"4,903만원 ~ 8,636만원",서울 강남구,"Kotlin, Android, Firebase",2025-01-12
"2024-12-14 03:34:17,546",우아한형제들,우아한형제들 블록체인 개발자 채용,https://careers.example.com/우아한형제들/23292,인턴,박사이상,정규직,"7,226만원 ~ 11,366만원",제주 제주시,"Python, Django, AWS",2025-01-10
"2024-12-14 03:34:17,039",비바리퍼블리카,비바리퍼블리카 DevOps 엔지니어 채용,https://careers.example.com/비바리퍼블리카/83948,인턴,학력무관,정규직,"4,971만원 ~ 13,675만원",서울 강남구,"Python, TensorFlow, PyTorch",2024-12-29
"2024-12-14 03:34:17,309",쿠팡,쿠팡 머신러닝 엔지니어 채용,https://careers.example.com/쿠팡/97963,인턴,학력무관,인턴,"6,831만원 ~ 14,811만원",서울 강남구,"Scala, Akka, Kafka",2025-01-07
"2024-12-14 03:34:17,941",데브시스터즈,데브시스터즈 DevOps 엔지니어 채용,https://careers.example.com/데브시스터즈/42626,인턴,초대졸이상,계약직,"4,740만원 ~ 12,985만원",경기 분당구,"Rust, WebAssembly",2024-12-22
"2024-12-14 03:34:17,189",크래프톤,크래프톤 DevOps 엔지니어 채용,https://careers.example.com/크래프톤/49025,신입·경력,석사이상,정규직,"3,895만원 ~ 13,708만원",서울 송파구,"Go, Docker, Kubernetes",2025-01-04
"2024-12-14 03:34:17,251",스마일게이트,스마일게이트 클라우드 엔지니어 채용,https://careers.example.com/스마일게이트/87152,경력무관,고졸이상,인턴,"7,491만원 ~ 11,027만원",제주 제주시,"Ruby, Rails, PostgreSQL",2025-01-12
"2024-12-14 03:34:17,875",왓챠,왓챠 백엔드 개발자 채용,https://careers.example.com/왓챠/35561,경력,초대졸이상,정규직,"7,002만원 ~ 8,944만원",대전 유성구,"Python, Django, AWS",2024-12-31
"2024-12-14 03:34:17,772",그린랩스,그린랩스 iOS 개발자 채용,https://careers.example.com/그린랩스/71191,신입,학력무관,정규직,"7,394만원 ~ 9,652만원",서울 성동구,"Swift, iOS, Objective-C",2024-12-25
"2024-12-14 03:34:17,620",네이버,네이버 데이터 엔지니어 채용,https://careers.example.com/네이버/25315,신입·경력,석사이상,계약직,"7,029만원 ~ 12,323만원",서울 마포구,"Scala, Akka, Kafka",2025-01-05
"2024-12-14 03:34:17,395",비바리퍼블리카,비바리퍼블리카 보안 엔지니어 채용,https://careers.example.com/비바리퍼블리카/79494,전문연구요원,학력무관,파견직,"4,038만원 ~ 13,584만원",대전 유성구,"C++, Unreal Engine",2025-01-13
"2024-12-14 03:34:17,081",펄어비스,펄어비스 게임 서버 개발자 채용,https://careers.example.com/펄어비스/94051,경력,박사이상,인턴,"3,877만원 ~ 14,571만원",서울 강남구,"C++, Unreal Engine",2025-01-04
"2024-12-14 03:34:17,418",크래프톤,크래프톤 풀스택 개발자 채용,https://careers.example.com/크래프톤/49153,경력무관,석사이상,인턴,"6,499만원 ~ 9,134만원",경기 성남시,"JavaScript, React, Node.js",2024-12-26
"2024-12-14 03:34:17,609",드라마앤컴퍼니,드라마앤컴퍼니 블록체인 개발자 채용,https://careers.example.com/드라마앤컴퍼니/42882,인턴,고졸이상,정규직,"7,901만원 ~ 12,688만원",서울 서초구,"JavaScript, React, Node.js",2025-01-02
"2024-12-14 03:34:17,254",마이리얼트립,마이리얼트립 프론트엔드 개발자 채용,https://careers.example.com/마이리얼트립/38575,인턴,박사이상,인턴,"5,401만원 ~ 14,258만원",경기 분당구,"Python, Django, AWS",2024-12-24
"2024-12-14 03:34:17,215",버킷플레이스,버킷플레이스 iOS 개발자 채용,https://careers.example.com/버킷플레이스/86288,전문연구요원,고졸이상,프리랜서,"6,044만원 ~ 8,605만원",서울 성동구,"C++, Unreal Engine",2025-01-08
"2024-12-14 03:34:17,909",데브시스터즈,데브시스터즈 백엔드 개발자 채용,https://careers.example.com/데브시스터즈/50137,경력,박사이상,프리랜서,"5,216만원 ~ 8,680만원",경기 분당구,"C++, Unreal Engine",2025-01-13
"2024-12-14 03:34:17,237",네이버,네이버 데이터 엔지니어 채용,https://careers.example.com/네이버/94920,경력,고졸이상,프리랜서,"3,734만원 ~ 8,501만원",제주 제주시,"Kotlin, Android, Firebase",2024-12-22
"2024-12-14 03:34:17,577",마켓컬리,마켓컬리 프론트엔드 개발자 채용,https://careers.example.com/마켓컬리/52916,인턴,대졸이상,계약직,"5,567만원 ~ 9,138만원",경기 분당구,"Java, Spring, MySQL",2025-01-08
"2024-12-14 03:34:17,768",버킷플레이스,버킷플레이스 프론트엔드 개발자 채용,https://careers.example.com/버킷플레이스/51279,신입,석사이상,인턴,"5,671만원 ~ 14,403만원",서울 서초구,"Swift, iOS, Objective-C",2025-01-07
"2024-12-14 03:34:18,764",비바리퍼블리카,비바리퍼블리카 안드로이드 개발자 채용,https://careers.example.com/비바리퍼블리카/64783,경력무관,박사이상,파견직,"6,715만원 ~ 12,130만원",서울 마포구,"Java, Spring, MySQL",2025-01-11
"2024-12-14 03:34:18,803",스마일게이트,스마일게이트 QA 엔지니어 채용,https://careers.example.com/스마일게이트/77318,경력무관,박사이상,계약직,"5,075만원 ~ 13,836만원",광주 북구,"Rust, WebAssembly",2024-12-30
"2024-12-14 03:34:18,842",펄어비스,펄어비스 프론트엔드 개발자 채용,https://careers.example.com/펄어비스/86237,인턴,대졸이상,정규직,"4,143만원 ~ 11,998만원",서울 성동구,"Scala, Akka, Kafka",2024-12-30
"2024-12-14 03:34:18,612",왓챠,왓챠 머신러닝 엔지니어 채용,https://careers.example.com/왓챠/34204,신입,학력무관,정규직,"7,334만원 ~ 9,287만원",서울 송파구,"Kotlin, Android, Firebase",2025-01-05
"2024-12-14 03:34:18,594",빅히트엔터테인먼트,빅히트엔터테인먼트 보안 엔지니어 채용,https://careers.example.com/빅히트엔터테인먼트/96849,전문연구요원,대졸이상,인턴,"6,846만원 ~ 12,851만원",대전 유성구,"Python, TensorFlow, PyTorch",2024-12-30
"2024-12-14 03:34:18,956",크래프톤,크래프톤 보안 엔지니어 채용,https://careers.example.com/크래프톤/99943,경력무관,고졸이상,프리랜서,"7,879만원 ~ 13,571만원",서울 성동구,"Swift, iOS, Objective-C",2025-01-08
"2024-12-14 03:34:18,907",라인플러스,라인플러스 머신러닝 엔지니어 채용,https://careers.example.com/라인플러스/21121,경력,초대졸이상,프리랜서,"4,357만원 ~ 10,180만원",인천 연수구,"Python, Django, AWS",2025-01-10
"2024-12-14 03:34:18,392",버킷플레이스,버킷플레이스 클라우드 엔지니어 채용,https://careers.example.com/버킷플레이스/62923,인턴,석사이상,프리랜서,"4,600만원 ~ 10,194만원",경기 성남시,"Python, TensorFlow, PyTorch",2024-12-25
"2024-12-14 03:34:18,289",쿠팡,쿠팡 DevOps 엔지니어 채용,https://careers.example.com/쿠팡/78677,경력무관,초대졸이상,인턴,"5,579만원 ~ 14,450만원",대전 유성구,"JavaScript, React, Node.js",2025-01-04
"2024-12-14 03:34:18,942",카카오,카카오 iOS 개발자 채용,https://careers.example.com/카카오/51985,경력무관,고졸이상,파견직,"5,106만원 ~ 14,610만원",제주 제주시,"Python, Django, AWS",2025-01-04
"2024-12-14 03:34:18,903",두나무,두나무 머신러닝 엔지니어 채용,https://careers.example.com/두나무/80700,신입·경력,박사이상,정규직,"7,694만원 ~ 11,659만원",서울 서초구,"JavaScript, Vue.js, TypeScript",2024-12-23
"2024-12-14 03:34:18,210",마켓컬리,마켓컬리 iOS 개발자 채용,https://careers.example.com/마켓컬리/29862,인턴,대졸이상,정규직,"5,986만원 ~ 9,826만원",부산 해운대구,"Scala, Akka, Kafka",2025-01-04
"2024-12-14 03:34:18,300",직방,직방 머신러닝 엔지니어 채용,https://careers.example.com/직방/56853,전문연구요원,박사이상,인턴,"5,851만원 ~ 14,784만원",부산 해운대구,"Go, Docker, Kubernetes",2024-12-28
"2024-12-14 03:34:18,933",왓챠,왓챠 게임 서버 개발자 채용,https://careers.example.com/왓챠/14155,신입,학력무관,인턴,"6,980만원 ~ 9,246만원",부산 해운대구,"JavaScript, Vue.js, TypeScript",2024-12-29
"2024-12-14 03:34:18,939",SK플래닛,SK플래닛 데이터 엔지니어 채용,https://careers.example.com/sk플래닛/91177,인턴,학력무관,인턴,"7,034만원 ~ 10,241만원",부산 해운대구,"Java, Spring, MySQL",2025-01-04
"2024-12-14 03:34:18,269",비바리퍼블리카,비바리퍼블리카 블록체인 개발자 채용,https://careers.example.com/비바리퍼블리카/50976,전문연구요원,학력무관,정규직,"4,450만원 ~ 12,602만원",서울 서초구,"Python, TensorFlow, PyTorch",2025-01-04
"2024-12-14 03:34:18,936",크래프톤,크래프톤 DevOps 엔지니어 채용,https://careers.example.com/크래프톤/57081,전문연구요원,대졸이상,계약직,"7,891만원 ~ 11,003만원",경기 분당구,"JavaScript, React, Node.js",2024-12-30
"2024-12-14 03:34:18,142",두나무,두나무 게임 서버 개발자 채용,https://careers.example.com/두나무/80894,경력,석사이상,계약직,"6,319만원 ~ 11,539만원",서울 송파구,"Ruby, Rails, PostgreSQL",2024-12-27
"2024-12-14 03:34:18,499",스마일게이트,스마일게이트 안드로이드 개발자 채용,https://careers.example.com/스마일게이트/38390,신입,대졸이상,계약직,"7,281만원 ~ 12,893만원",제주 제주시,"Kotlin, Android, Firebase",2025-01-11
"2024-12-14 03:34:18,136",야놀자,야놀자 안드로이드 개발자 채용,https://careers.example.com/야놀자/83784,신입,학력무관,파견직,"5,752만원 ~ 9,846만원",경기 판교,"JavaScript, React, Node.js",2025-01-08
"2024-12-14 03:34:18,079",야놀자,야놀자 데이터 엔지니어 채용,https://careers.example.com/야놀자/30505,경력,초대졸이상,파견직,"5,592만원 ~ 10,226만원",제주 제주시,"Kotlin, Android, Firebase",2025-01-08
"2024-12-14 03:34:18,792",네이버,네이버 QA 엔지니어 채용,https://careers.example.com/네이버/43678,전문연구요원,석사이상,인턴,"7,939만원 ~ 10,064만원",경기 성남시,"Swift, iOS, Objective-C",2025-01-05
"2024-12-14 03:34:18,910",직방,직방 시스템 엔지니어 채용,https://careers.example.com/직방/55005,신입·경력,학력무관,계약직,"6,788만원 ~ 10,530만원",서울 서초구,"JavaScript, Vue.js, TypeScript",2024-12-25
"2024-12-14 03:34:18,156",드라마앤컴퍼니,드라마앤컴퍼니 iOS 개발자 채용,https://careers.example.com/드라마앤컴퍼니/49644,전문연구요원,박사이상,인턴,"5,786만원 ~ 14,000만원",서울 서초구,"Swift, iOS, Objective-C",2025-01-03
"2024-12-14 03:34:18,692",여기어때,여기어때 클라우드 엔지니어 채용,https://careers.example.com/여기어때/79365,신입·경력,박사이상,파견직,"5,092만원 ~ 12,423만원",서울 성동구,"Scala, Akka, Kafka",2024-12-24
"2024-12-14 03:34:18,026",브랜디,브랜디 iOS 개발자 채용,https://careers.example.com/브랜디/39875,신입·경력,초대졸이상,계약직,"4,190만원 ~ 9,854만원",경기 판교,"JavaScript, React, Node.js",2024-12-26
"2024-12-14 03:34:18,689",NHN,NHN 데이터 엔지니어 채용,https://careers.example.com/nhn/89263,신입,고졸이상,인턴,"5,218만원 ~ 10,834만원",서울 서초구,"Rust, WebAssembly",2025-01-09
"2024-12-14 03:34:18,678",버킷플레이스,버킷플레이스 머신러닝 엔지니어 채용,https://careers.example.com/버킷플레이스/57275,경력,초대졸이상,정규직,"5,502만원 ~ 11,114만원",서울 송파구,"JavaScript, React, Node.js",2025-01-12
"2024-12-14 03:34:18,093",마이리얼트립,마이리얼트립 블록체인 개발자 채용,https://careers.example.com/마이리얼트립/14931,신입,초대졸이상,프리랜서,"5,298만원 ~ 11,931만원",서울 마포구,"Kotlin, Android, Firebase",2024-12-22
"2024-12-14 03:34:18,450",당근마켓,당근마켓 백엔드 개발자 채용,https://careers.example.com/당근마켓/23833,신입·경력,석사이상,프리랜서,"5,234만원 ~ 9,649만원",서울 성동구,"Go, Docker, Kubernetes",2025-01-06
"2024-12-14 03:34:18,803",스마일게이트,스마일게이트 머신러닝 엔지니어 채용,https://careers.example.com/스마일게이트/17759,신입,초대졸이상,정규직,"6,152만원 ~ 9,967만원",서울 성동구,"C++, Unreal Engine",2025-01-06
"2024-12-14 03:34:18,653",라인플러스,라인플러스 iOS 개발자 채용,https://careers.example.com/라인플러스/32193,신입,초대졸이상,파견직,"5,747만원 ~ 13,979만원",경기 분당구,"C++, Unreal Engine",2024-12-31
"2024-12-14 03:34:18,462",빅히트엔터테인먼트,빅히트엔터테인먼트 프론트엔드 개발자 채용,https://careers.example.com/빅히트엔터테인먼트/89013,인턴,초대졸이상,프리랜서,"6,174만원 ~ 12,270만원",광주 북구,"JavaScript, React, Node.js",2025-01-05
"2024-12-14 03:34:18,871",우아한형제들,우아한형제들 DevOps 엔지니어 채용,https://careers.example.com/우아한형제들/40136,신입·경력,대졸이상,계약직,"4,360만원 ~ 11,254만원",서울 마포구,"Rust, WebAssembly",2025-01-13
"2024-12-14 03:34:18,227",그린랩스,그린랩스 DevOps 엔지니어 채용,https://careers.example.com/그린랩스/54330,인턴,대졸이상,파견직,"5,314만원 ~ 12,675만원",서울 송파구,"Python, Django, AWS",2024-12-26
"2024-12-14 03:34:18,891",데브시스터즈,데브시스터즈 머신러닝 엔지니어 채용,https://careers.example.com/데브시스터즈/72179,전문연구요원,박사이상,프리랜서,"6,689만원 ~ 13,530만원",경기 판교,"Go, Docker, Kubernetes",2024-12-22
"2024-12-14 03:34:18,324",야놀자,야놀자 데이터 엔지니어 채용,https://careers.example.com/야놀자/66643,경력무관,대졸이상,정규직,"5,141만원 ~ 13,429만원",서울 서초구,"C++, Unreal Engine",2025-01-09
"2024-12-14 03:34:18,999",마켓컬리,마켓컬리 DevOps 엔지니어 채용,https://careers.example.com/마켓컬리/48630,경력무관,석사이상,계약직,"6,760만원 ~ 14,366만원",제주 제주시,"C++, Unreal Engine",2025-01-14
"2024-12-14 03:34:18,817",데브시스터즈,데브시스터즈 DevOps 엔지니어 채용,https://careers.example.com/데브시스터즈/25207,전문연구요원,박사이상,파견직,"7,326만원 ~ 10,396만원",경기 성남시,"Go, Docker, Kubernetes",2024-12-26
"2024-12-14 03:34:18,694",버킷플레이스,버킷플레이스 백엔드 개발자 채용,https://careers.example.com/버킷플레이스/60657,경력,고졸이상,인턴,"3,715만원 ~ 13,740만원",서울 성동구,"Ruby, Rails, PostgreSQL",2025-01-06
"2024-12-14 03:34:18,439",그린랩스,그린랩스 게임 클라이언트 개발자 채용,https://careers.example.com/그린랩스/68318,경력무관,초대졸이상,계약직,"7,051만원 ~ 12,774만원",광주 북구,"Rust, WebAssembly",2024-12-30
"2024-12-14 03:34:18,022",빅히트엔터테인먼트,빅히트엔터테인먼트 풀스택 개발자 채용,https://careers.example.com/빅히트엔터테인먼트/31126,전문연구요원,학력무관,인턴,"4,106만원 ~ 8,552만원",서울 마포구,"JavaScript, Vue.js, TypeScript",2025-01-13
"2024-12-14 03:34:18,501",카카오,카카오 데이터 엔지니어 채용,https://careers.example.com/카카오/61085,경력무관,석사이상,계약직,"3,813만원 ~ 12,493만원",서울 마포구,"Ruby, Rails, PostgreSQL",2025-01-03
"2024-12-14 03:34:18,676",쿠팡,쿠팡 iOS 개발자 채용,https://careers.example.com/쿠팡/21901,신입,박사이상,프리랜서,"7,126만원 ~ 8,761만원",서울 성동구,"JavaScript, React, Node.js",2025-01-07
"2024-12-14 03:34:18,410",카카오,카카오 풀스택 개발자 채용,https://careers.example.com/카카오/24016,전문연구요원,석사이상,파견직,"6,764만원 ~ 10,677만원",경기 판교,"Ruby, Rails, PostgreSQL",2025-01-09
"2024-12-14 03:34:18,517",야놀자,야놀자 시스템 엔지니어 채용,https://careers.example.com/야놀자/19161,신입,학력무관,파견직,"3,650만원 ~ 8,780만원",서울 마포구,"Go, Docker, Kubernetes",2025-01-13
"2024-12-14 03:34:18,901",여기어때,여기어때 데이터 엔지니어 채용,https://careers.example.com/여기어때/71231,경력,고졸이상,계약직,"6,302만원 ~ 11,303만원",서울 성동구,"C++, Unreal Engine",2025-01-12
"2024-12-14 03:34:18,224",브랜디,브랜디 iOS 개발자 채용,https://careers.example.com/브랜디/62064,전문연구요원,박사이상,프리랜서,"4,663만원 ~ 12,194만원",광주 북구,"Ruby, Rails, PostgreSQL",2024-12-24
"2024-12-14 03:34:18,376",무신사,무신사 안드로이드 개발자 채용,https://careers.example.com/무신사/62213,전문연구요원,석사이상,파견직,"3,631만원 ~ 13,320만원",인천 연수구,"Rust, WebAssembly",2025-01-06
"2024-12-14 03:34:18,728",직방,직방 게임 클라이언트 개발자 채용,https://careers.example.com/직방/47869,신입,학력무관,인턴,"6,662만원 ~ 13,851만원",부산 해운대구,"C++, Unreal Engine",2025-01-05
"2024-12-14 03:34:18,516",데브시스터즈,데브시스터즈 블록체인 개발자 채용,https://careers.example.com/데브시스터즈/70747,신입·경력,초대졸이상,파견직,"3,843만원 ~ 9,293만원",경기 성남시,"Swift, iOS, Objective-C",2025-01-05
"2024-12-14 03:34:18,908",NHN,NHN 백엔드 개발자 채용,https://careers.example.com/nhn/20665,신입,고졸이상,파견직,"4,721만원 ~ 10,807만원",광주 북구,"Scala, Akka, Kafka",2024-12-26
"2024-12-14 03:34:18,601",왓챠,왓챠 머신러닝 엔지니어 채용,https://careers.example.com/왓챠/49739,경력,박사이상,프리랜서,"4,135만원 ~ 14,441만원",서울 강남구,"Rust, WebAssembly",2024-12-28
"2024-12-14 03:34:18,296",라인플러스,라인플러스 iOS 개발자 채용,https://careers.example.com/라인플러스/38080,인턴,석사이상,정규직,"6,711만원 ~ 13,251만원",서울 성동구,"Kotlin, Android, Firebase",2024-12-30
"2024-12-14 03:34:18,318",쿠팡,쿠팡 DevOps 엔지니어 채용,https://careers.example.com/쿠팡/42691,경력,대졸이상,프리랜서,"5,400만원 ~ 14,455만원",광주 북구,"Go, Docker, Kubernetes",2025-01-07
"2024-12-14 03:34:18,778",두나무,두나무 보안 엔지니어 채용,https://careers.example.com/두나무/67332,신입,초대졸이상,정규직,"3,546만원 ~ 14,903만원",제주 제주시,"Ruby, Rails, PostgreSQL",2025-01-12
